SKU;NOMBRE; PRECIO ;FABRICANTE;CATEGORIA-LINEA;SUB-CATEGORIA;DESCRIPCION CORTA;DESCRIPCION LARGA;META TAGS;FICHA TECNICA;IMPUESTO;NOMBRE IMÁGENES DEL PRODUCTO;;;RUTA DE LAS IMAGENES;;;INVENTARIO
047;ESMALTE BASE AJO LIMON 12cc                                      ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE BASE AJO LIMON                            ;;ESMALTES;;IVA 19%;ESMALTE BASE AJO LIMON                                      ;ESMALTE BASE AJO LIMON                                      ;ESMALTE BASE AJO LIMON                                      ;;;;
048;ESMALTE BASE CALCIO 12cc                                         ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE BASE CALCIO                               ;;ESMALTES;;IVA 19%;ESMALTE BASE CALCIO                                         ;ESMALTE BASE CALCIO                                         ;ESMALTE BASE CALCIO                                         ;;;;
049;ESMALTE BASE DE AJO 12cc                                         ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE BASE DE AJO                               ;;ESMALTES;;IVA 19%;ESMALTE BASE DE AJO                                         ;ESMALTE BASE DE AJO                                         ;ESMALTE BASE DE AJO                                         ;;;;
050;ESMALTE BASE VITAMINA E 12cc                                    ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE BASE VITAMINA E                           ;;ESMALTES;;IVA 19%;ESMALTE BASE VITAMINA E                                     ;ESMALTE BASE VITAMINA E                                     ;ESMALTE BASE VITAMINA E                                     ;;;;
051;ESMALTE BRILLO ESCUDO 10cc                                    ; $ 5.500 ;EFFES                         ;MANOS Y UÑAS;ESMALTES;ESMALTE BRILLO ESCUDO 10 (EF)                     ;;ESMALTES;;IVA 19%;ESMALTE BRILLO ESCUDO                                    ;ESMALTE BRILLO ESCUDO                                    ;ESMALTE BRILLO ESCUDO                                    ;;;;
052;ESMALTE PARA UÑAS  41            TODAS ESTAS REFERENCIAS ESTAN CONDESADAS EN LAS IMÁGENES DE CARTA DE COLORES                          ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 41                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS  41            TODAS ESTAS REFERENCIAS ESTAN CONDESADAS EN LAS IMÁGENES DE CARTA DE COLORES                          ;ESMALTE PARA UÑAS  41            TODAS ESTAS REFERENCIAS ESTAN CONDESADAS EN LAS IMÁGENES DE CARTA DE COLORES                          ;ESMALTE PARA UÑAS  41            TODAS ESTAS REFERENCIAS ESTAN CONDESADAS EN LAS IMÁGENES DE CARTA DE COLORES                          ;;;;
053;ESMALTE PARA UÑAS  43                                       ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 43                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS  43                                       ;ESMALTE PARA UÑAS  43                                       ;ESMALTE PARA UÑAS  43                                       ;;;;
054;ESMALTE PARA UÑAS 01                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 01                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 01                                        ;ESMALTE PARA UÑAS 01                                        ;ESMALTE PARA UÑAS 01                                        ;;;;
055;ESMALTE PARA UÑAS 02                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 02                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 02                                        ;ESMALTE PARA UÑAS 02                                        ;ESMALTE PARA UÑAS 02                                        ;;;;
056;ESMALTE PARA UÑAS 03                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 03                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 03                                        ;ESMALTE PARA UÑAS 03                                        ;ESMALTE PARA UÑAS 03                                        ;;;;
